User Link,Reputation gained
"4883","117220"
"6068","113675"
"39677","100187"
"87234","98679"
"51816","97322"
"49153","88397"
"179736","86930"
"63051","84749"
"4653","83155"
"11236","75735"
"4639","72887"
"9951","69831"
"342235","69714"
"12870","64850"
"65387","61672"
"12597","59713"
"4872","59055"
"9021","58437"
"7473","58020"
"247243","57565"
"48523","53335"
"84201","53087"
"95592","51785"
"260127","51140"
"15055","50475"
"39321","49427"
"104015","49370"
"44984","49210"
"21709","48610"
"54964","48540"
"18300","48480"
"5441","48325"
"128983","47815"
"14069","47270"
"46646","46935"
"116","46464"
"147601","43909"
"35364","43570"
"149080","42380"
"114066","41995"
"252000","40972"
"44330","39367"
"143378","39315"
"707381","39178"
"338204","38855"
"25847","38505"
"117700","38030"
"97101","37945"
"3713","37385"
"364969","37280"
"4766","37105"
"541686","37068"
"13161","36775"
"292291","36750"
"41021","36696"
"2147","36667"
"376947","36425"
"286802","36000"
"2648","35795"
"4105","35450"
"878126","35345"
"165673","35170"
"130758","35135"
"164299","34890"
"184046","34780"
"68183","34644"
"325418","34578"
"1384652","34090"
"859154","34045"
"165495","33310"
"651174","32755"
"111174","32595"
"11333","32455"
"5056","32380"
"51518","32380"
"243782","31827"
"91","31652"
"31569","31375"
"456584","31165"
"130015","31065"
"426996","30980"
"797","30685"
"493","30659"
"2138","30595"
"78374","30460"
"242933","30415"
"1288","30356"
"72583","30355"
"415784","30328"
"27929","30175"
"156458","30175"
"224922","30030"
"496949","29867"
"33203","29720"
"245549","29690"
"383759","29540"
"31671","29533"
"359862","29515"
"13055","29440"
"109305","29190"
