User Link,Reputation gained
"4883","83173"
"6068","80998"
"39677","70705"
"87234","69144"
"51816","64762"
"49153","62512"
"4653","61955"
"4639","59070"
"63051","58929"
"11236","57210"
"179736","56983"
"9951","53037"
"7473","52930"
"342235","51754"
"12870","48255"
"12597","47045"
"65387","45440"
"9021","43788"
"247243","41085"
"84201","40967"
"4872","39560"
"95592","39121"
"39321","38997"
"5441","38095"
"44984","37900"
"15055","36635"
"21709","36585"
"54964","36300"
"48523","36190"
"260127","35995"
"104015","35590"
"147601","34749"
"116","33579"
"14069","33290"
"128983","33260"
"252000","32857"
"149080","32610"
"18300","32315"
"35364","31105"
"143378","30795"
"114066","30590"
"44330","30102"
"541686","30059"
"2648","29975"
"3713","29810"
"184046","29795"
"2147","29577"
"25847","29240"
"46646","28235"
"376947","28020"
"707381","27893"
"13161","27730"
"325418","27603"
"41021","27376"
"130758","27040"
"292291","26550"
"68183","25879"
"117700","25835"
"338204","25740"
"165673","25535"
"286802","25370"
"91","25117"
"11333","24950"
"72583","24930"
"859154","24810"
"165495","24800"
"1384652","24635"
"2138","24475"
"243782","24167"
"130015","24145"
"4105","24130"
"48082","24091"
"878126","24055"
"4766","24005"
"797","23995"
"164299","23865"
"78374","23450"
"31569","23205"
"5056","22900"
"114916","22848"
"242933","22750"
"17744","22695"
"1288","22576"
"48465","22520"
"493","22439"
"426996","22215"
"31671","22106"
"57428","22067"
"224922","22040"
"41543","21795"
"3834","21775"
"25068","21735"
"31610","21685"
"26349","21570"
"36590","21555"
"44990","21475"
"206446","21472"
"496949","21462"
"364969","21410"
"2443","21399"
